chain,iter,log_p,dataset
1,0,-16827.303,run5p2wgs
0,0,-16827.303,run5p2wgs
3,0,-16827.303,run5p2wgs
2,0,-6870.875,run5p2wgs
1,0,-5873.049,run5p2wgs_t
2,0,-5385.033,run5p2wgs_t
3,0,-5005.883,run5p2wgs_t
0,0,-2137.806,run5p2wgs_t
1,0,-17114.803,run5p3wgs
3,0,-17114.803,run5p3wgs
0,0,-17114.803,run5p3wgs
2,0,-8583.876,run5p3wgs
1,0,-35554.9,run5p3wgs_t
0,0,-35554.9,run5p3wgs_t
2,0,-35554.9,run5p3wgs_t
3,0,-13165.946,run5p3wgs_t
3,0,-19903.212,run5p9wgs
1,0,-19903.212,run5p9wgs
2,0,-19903.212,run5p9wgs
0,0,-12550.919,run5p9wgs
2,0,-35713.766,run5p9wgs_t
3,0,-35713.766,run5p9wgs_t
1,0,-35713.766,run5p9wgs_t
0,0,-18559.272,run5p9wgs_t
3,1,-9211.062,run5p2wgs
1,1,-5443.194,run5p2wgs
0,1,-4837.567,run5p2wgs
2,1,-855.175,run5p2wgs
1,1,-5873.049,run5p2wgs_t
2,1,-5385.033,run5p2wgs_t
3,1,-2932.912,run5p2wgs_t
0,1,-2137.806,run5p2wgs_t
3,1,-12190.625,run5p3wgs
1,1,-10511.172,run5p3wgs
0,1,-9577.902,run5p3wgs
2,1,-8517.956,run5p3wgs
1,1,-15013.496,run5p3wgs_t
2,1,-14402.649,run5p3wgs_t
0,1,-13715.925,run5p3wgs_t
3,1,-12789.68,run5p3wgs_t
3,1,-13284.737,run5p9wgs
1,1,-12803.628,run5p9wgs
2,1,-12487.877,run5p9wgs
0,1,-12171.551,run5p9wgs
3,1,-19287.357,run5p9wgs_t
2,1,-17566.574,run5p9wgs_t
0,1,-17112.823,run5p9wgs_t
1,1,-16967.943,run5p9wgs_t
3,2,-575.634,run5p2wgs
1,2,-514.716,run5p2wgs
2,2,-493.78,run5p2wgs
0,2,782.595,run5p2wgs
2,2,-3302.718,run5p2wgs_t
1,2,-3106.388,run5p2wgs_t
3,2,-1985.523,run5p2wgs_t
0,2,-756.311,run5p2wgs_t
3,2,-10456.948,run5p3wgs
1,2,-9405.482,run5p3wgs
2,2,-8501.609,run5p3wgs
0,2,-8274.525,run5p3wgs
1,2,-13413.782,run5p3wgs_t
2,2,-13192.066,run5p3wgs_t
0,2,-12963.823,run5p3wgs_t
3,2,-12634.689,run5p3wgs_t
1,2,-12474.512,run5p9wgs
0,2,-12185.279,run5p9wgs
3,2,-12169.718,run5p9wgs
2,2,-11880.403,run5p9wgs
3,2,-17611.125,run5p9wgs_t
0,2,-16423.555,run5p9wgs_t
2,2,-15772.566,run5p9wgs_t
1,2,-15765.78,run5p9wgs_t
1,3,-430.343,run5p2wgs
2,3,-411.549,run5p2wgs
3,3,-384.791,run5p2wgs
0,3,889.004,run5p2wgs
2,3,-3350.419,run5p2wgs_t
1,3,-2939.303,run5p2wgs_t
3,3,-1865.596,run5p2wgs_t
0,3,-622.498,run5p2wgs_t
3,3,-10052.793,run5p3wgs
1,3,-9290.849,run5p3wgs
2,3,-8515.376,run5p3wgs
0,3,-8257.828,run5p3wgs
1,3,-13207.214,run5p3wgs_t
2,3,-13134.694,run5p3wgs_t
0,3,-12863.692,run5p3wgs_t
3,3,-12285.602,run5p3wgs_t
1,3,-12346.75,run5p9wgs
2,3,-11919.198,run5p9wgs
3,3,-11798.009,run5p9wgs
0,3,-11608.154,run5p9wgs
3,3,-17463.241,run5p9wgs_t
0,3,-16289.61,run5p9wgs_t
2,3,-15692.459,run5p9wgs_t
1,3,-15475.837,run5p9wgs_t
1,4,-397.337,run5p2wgs
3,4,-158.627,run5p2wgs
2,4,113.61,run5p2wgs
0,4,937.773,run5p2wgs
